X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF06309	7	2	2	2	3	14	Torsin	GO:0005524	NA	NA
PF04226	7	7	14	7	7	18	Transglycosylase associated protein	NA	NA	GO:0016021
PF10585	7	22	10	11	35	11	Ubiquitin-activating enzyme active site	NA	NA	NA
PF02320	7	4	6	3	9	6	Ubiquinol-cytochrome C reductase hinge protein	NA	NA	NA
PF02921	7	3	5	6	8	5	Ubiquinol cytochrome reductase transmembrane region	GO:0008121	GO:0055114	NA
PF03685	7	3	6	4	6	4	Uncharacterised protein family (UPF0147)	NA	NA	NA
PF05728	7	5	9	8	4	7	Uncharacterised protein family (UPF0227)	NA	NA	NA
PF14744	7	13	4	6	12	17	WASH complex subunit 7	NA	NA	NA
PF11756	7	2	4	3	9	13	Nitrous oxide-stimulated promoter	NA	NA	NA
PF05360	7	0	1	1	2	3	yiaA/B two helix domain	NA	NA	NA
PF00643	7	6	4	7	23	6	B-box zinc finger	GO:0008270	NA	GO:0005622
PF12171	7	11	7	5	9	9	Zinc-finger double-stranded RNA-binding	NA	NA	NA
PF13913	7	4	4	10	4	8	zinc-finger of a C2HC-type	NA	NA	NA
PF13451	7	5	7	8	5	5	Probable zinc-ribbon domain	NA	NA	NA
PF06182	6	3	12	3	4	22	ABC-2 family transporter protein	NA	NA	NA
PF14542	6	2	10	6	3	7	GCN5-related N-acetyl-transferase	NA	NA	NA
PF03767	6	6	8	6	6	18	HAD superfamily, subfamily IIIB (Acid phosphatase)	GO:0003993	NA	NA
PF13949	6	6	1	5	7	10	ALIX V-shaped domain binding to HIV	GO:0005515	NA	NA
PF08699	6	5	1	11	9	6	Argonaute linker 1 domain	NA	NA	NA
PF02040	6	4	4	6	7	12	Arsenical pump membrane protein	GO:0015105	GO:0015700	GO:0016021
PF06953	6	5	6	5	2	7	Arsenical resistance operon trans-acting repressor ArsD	GO:0003677	GO:0045892,GO:0046685	NA
PF02655	6	7	2	3	5	10	ATP-grasp domain	GO:0005524,GO:0046872	NA	NA
PF06644	6	2	1	0	0	2	ATP11 protein	NA	GO:0006461	GO:0005739
PF12156	6	16	6	9	13	12	Putative metal-binding domain of cation transport ATPase	NA	NA	NA
PF09066	6	6	5	1	9	4	Beta2-adaptin appendage, C-terminal sub-domain	NA	GO:0006886,GO:0016192	GO:0030131
PF02961	6	1	1	7	6	5	Barrier to autointegration factor	GO:0003677	NA	NA
PF07523	6	1	0	2	5	24	Bacterial Ig-like domain (group 3)	NA	NA	NA
PF08145	6	9	1	13	25	18	BOP1NT (NUC169) domain	NA	GO:0006364	NA
PF04196	6	1	1	2	4	11	Bunyavirus RNA dependent RNA polymerase	GO:0003968	GO:0006351,GO:0019079	NA
PF08172	6	1	2	5	7	5	CASP C terminal	NA	GO:0006891	GO:0030173
PF10174	6	4	0	5	7	5	RIM-binding protein of the cytomatrix active zone	NA	NA	GO:0048786
PF09704	6	6	1	2	0	8	CRISPR-associated protein (Cas_Cas5)	NA	NA	NA
PF01146	6	7	5	21	6	8	Caveolin	NA	GO:0070836	NA
PF03914	6	9	9	5	6	6	CBF/Mak21 family	NA	NA	NA
PF02045	6	2	2	4	3	3	CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B	GO:0003700	GO:0006355	NA
PF04995	6	7	5	3	4	10	Heme exporter protein D (CcmD)	NA	GO:0015886,GO:0017004	GO:0016021
PF02487	6	3	3	5	0	1	CLN3 protein	NA	NA	GO:0016020
PF16575	6	7	2	8	2	8	mRNA cleavage and polyadenylation factor CLP1 P-loop	NA	NA	NA
PF00780	6	16	4	15	14	32	CNH domain	NA	NA	NA
PF06419	6	6	1	2	6	9	Conserved oligomeric complex COG6	NA	NA	NA
PF06206	6	0	3	3	1	2	CpeT/CpcT family (DUF1001)	GO:0016829	GO:0017009	NA
PF13716	6	6	1	7	7	10	Divergent CRAL/TRIO domain	NA	NA	NA
PF06123	6	9	3	4	7	29	Inner membrane protein CreD	NA	NA	NA
PF04145	6	6	1	3	10	7	Ctr copper transporter family	GO:0005375	GO:0035434	GO:0016021
PF02560	6	3	10	2	3	0	Cyanate lyase C-terminal domain	NA	GO:0009439	NA
PF00609	6	20	7	9	14	14	Diacylglycerol kinase accessory domain	GO:0004143	GO:0007205	NA
PF15228	6	8	2	4	14	6	Death-associated protein	NA	NA	NA
PF03184	6	30	5	10	3	20	DDE superfamily endonuclease	GO:0003676	NA	NA
PF13612	6	4	7	7	6	11	Transposase DDE domain	NA	NA	NA
PF02862	6	7	2	4	13	8	DDHD domain	GO:0046872	NA	NA
PF05699	6	28	4	11	14	32	hAT family C-terminal dimerisation region	GO:0046983	NA	NA
PF03265	6	9	1	2	8	22	Deoxyribonuclease II	GO:0004531	GO:0006259	NA
PF04104	6	16	5	10	4	16	Eukaryotic and archaeal DNA primase, large subunit	GO:0003896	GO:0006269	NA
PF04118	6	2	1	3	6	10	Dopey, N-terminal	NA	NA	NA
PF04124	6	11	4	2	4	9	Dor1-like family	NA	NA	GO:0017119
PF06799	6	1	1	2	0	2	Protein of unknown function (DUF1230)	NA	NA	NA
PF06853	6	2	16	4	10	7	Protein of unknown function (DUF1249)	NA	NA	NA
PF06916	6	7	1	4	6	3	Protein of unknown function (DUF1279)	NA	NA	NA
PF06945	6	5	7	3	4	5	Protein of unknown function (DUF1289)	NA	NA	NA
PF07466	6	5	12	3	1	2	Protein of unknown function (DUF1517)	NA	NA	NA
PF07617	6	2	9	8	9	10	Protein of unknown function (DUF1579)	NA	NA	NA
PF07946	6	7	0	6	5	25	Protein of unknown function (DUF1682)	NA	NA	NA
PF02596	6	10	14	12	8	27	Uncharacterised ArCR, COG2043	NA	NA	NA
PF08401	6	0	2	3	2	6	Domain of unknown function (DUF1738)	NA	NA	NA
PF08681	6	6	4	3	6	16	Protein of unknown function (DUF1778)	NA	NA	NA
PF08897	6	4	12	5	7	14	Domain of unknown function (DUF1841)	NA	NA	NA
PF09351	6	5	8	4	8	5	Domain of unknown function (DUF1993)	NA	NA	NA
PF02677	6	5	4	6	0	10	Uncharacterized BCR, COG1636	NA	NA	NA
PF02681	6	0	6	2	2	11	Divergent PAP2 family	NA	NA	NA
PF09925	6	3	3	4	3	6	Predicted membrane protein (DUF2157)	NA	NA	NA
PF09947	6	3	1	0	2	1	Uncharacterized protein conserved in archaea (DUF2180)	NA	NA	NA
PF10042	6	3	5	5	4	10	Uncharacterized conserved protein (DUF2278)	NA	NA	NA
PF10050	6	10	1	1	3	6	Predicted metal-binding protein (DUF2284)	NA	NA	NA
PF10057	6	7	3	5	1	7	Uncharacterized conserved protein (DUF2294)	NA	NA	NA
PF10792	6	1	5	3	2	0	Protein of unknown function (DUF2605)	NA	NA	NA
PF10973	6	1	3	4	2	5	Protein of unknown function (DUF2799)	NA	NA	NA
PF10999	6	0	1	2	0	0	Protein of unknown function (DUF2839)	NA	NA	NA
PF11209	6	2	3	2	0	1	Protein of unknown function (DUF2993)	NA	NA	NA
PF11251	6	0	5	1	5	19	Protein of unknown function (DUF3050)	NA	NA	NA
PF11307	6	3	2	1	6	12	Protein of unknown function (DUF3109)	NA	NA	NA
PF11333	6	3	1	1	1	4	Protein of unknown function (DUF3135)	NA	NA	NA
PF11805	6	3	4	6	3	2	Protein of unknown function (DUF3326)	NA	NA	NA
PF03961	6	3	6	2	2	17	Protein of unknown function (DUF342)	NA	NA	NA
PF11949	6	15	5	4	3	11	Protein of unknown function (DUF3466)	NA	NA	NA
PF12038	6	12	5	3	3	20	Domain of unknown function (DUF3524)	NA	NA	NA
PF12200	6	4	6	2	5	2	Domain of unknown function (DUF3597)	NA	NA	NA
PF12531	6	7	7	7	5	14	DNA-K related protein	NA	NA	NA
PF12576	6	3	1	5	3	10	Protein of unknown function (DUF3754)	NA	NA	NA
PF12616	6	46	8	35	17	28	Protein of unknown function (DUF3775)	NA	NA	NA
PF13182	6	0	3	2	1	9	Protein of unknown function (DUF4007)	NA	NA	NA
PF13274	6	3	6	4	4	6	Protein of unknown function (DUF4065)	NA	NA	NA
PF13281	6	8	12	4	12	18	Domain of unknown function (DUF4071)	NA	NA	NA
PF13313	6	4	10	8	7	11	Domain of unknown function (DUF4082)	NA	NA	NA
PF13898	6	6	3	3	4	9	Domain of unknown function (DUF4205)	NA	NA	NA
PF14377	6	7	7	7	6	5	Domain of unknown function (DUF4414)	NA	NA	NA
PF16155	6	6	9	4	0	7	Domain of unknown function (DUF4863)	NA	NA	NA
PF16338	6	2	1	0	2	3	Domain of unknown function (DUF4968)	NA	NA	NA
PF16477	6	3	2	1	6	0	Domain of unknown function (DUF5054)	NA	NA	NA
PF04400	6	6	6	4	3	5	Protein of unknown function (DUF539)	NA	NA	NA
PF05600	6	4	0	2	6	4	Protein of unknown function (DUF773)	NA	NA	NA
PF05661	6	7	14	6	3	27	Protein of unknown function (DUF808)	NA	NA	NA
PF05907	6	1	4	0	3	4	Eukaryotic protein of unknown function (DUF866)	NA	NA	NA
PF01940	6	9	6	4	6	9	Integral membrane protein DUF92	NA	NA	GO:0016021
PF06337	6	10	9	7	8	16	DUSP domain	GO:0004843	NA	NA
PF09007	6	14	9	3	6	10	EBP50, C-terminal	NA	NA	NA
PF12807	6	9	7	4	8	11	Translation initiation factor eIF3 subunit 135	NA	NA	NA
PF04727	6	5	6	4	7	4	ELMO/CED-12 family	NA	NA	NA
PF07055	6	2	4	3	5	18	Enoyl reductase FAD binding domain	NA	NA	NA
PF05871	6	6	6	4	6	10	ESCRT-II complex subunit	NA	NA	NA
PF03016	6	7	4	9	16	10	Exostosin family	NA	NA	NA
PF12937	6	18	7	13	21	18	F-box-like	GO:0005515	NA	NA
PF12892	6	14	6	5	6	8	T surface-antigen of pili	NA	NA	NA
PF16511	6	10	0	1	9	9	N-terminal or F0 domain of Talin-head FERM	NA	NA	NA
PF09603	6	9	8	7	8	21	Fibrobacter succinogenes major domain (Fib_succ_major)	NA	NA	NA
PF05751	6	12	4	10	12	24	FixH	NA	NA	NA
PF04620	6	8	10	17	9	68	Flagellar filament outer layer protein Flaa	NA	GO:0071973	GO:0030288
PF06289	6	4	8	2	4	9	Flagellar protein (FlbD)	NA	NA	NA
PF07504	6	1	13	5	3	4	Fungalysin/Thermolysin Propeptide Motif	NA	NA	NA
PF00320	6	6	1	6	8	6	GATA zinc finger	GO:0003700,GO:0008270,GO:0043565	GO:0006355	NA
PF12899	6	4	10	2	1	17	Alkaline and neutral invertase	GO:0033926	NA	NA
PF16317	6	8	8	4	2	14	Glycosyl hydrolase family 99	NA	NA	NA
PF13733	6	10	5	8	10	17	N-terminal region of glycosyl transferase group 7	NA	NA	NA
PF11904	6	15	3	8	12	20	GPCR-chaperone	NA	NA	NA
PF08886	6	6	4	7	7	3	Glutamate-cysteine ligase	NA	NA	NA
PF06445	6	16	5	17	15	50	GyrI-like small molecule binding domain	NA	NA	NA
PF12236	6	6	8	3	4	7	Bacteriophage head to tail connecting protein	NA	NA	NA
PF06969	6	26	10	23	12	37	HemN C-terminal domain	NA	NA	NA
PF13391	6	3	5	4	3	17	HNH endonuclease	NA	NA	NA
PF13542	6	2	5	3	2	22	Helix-turn-helix domain of transposase family ISL3	NA	NA	NA
PF04955	6	5	6	5	11	20	HupE / UreJ protein	NA	NA	NA
PF04568	6	4	1	9	18	13	Mitochondrial ATPase inhibitor, IATP	GO:0042030	GO:0032780	GO:0005739
PF04762	6	5	2	1	4	13	IKI3 family	NA	NA	NA
PF06437	6	6	4	2	1	4	IMP-specific 5'-nucleotidase	GO:0000287,GO:0050483	GO:0006190,GO:0009117	NA
PF01608	6	14	3	5	26	12	I/LWEQ domain	GO:0003779	NA	NA
PF02375	6	5	2	4	11	7	jmjN domain	NA	NA	NA
PF12544	6	3	7	3	6	10	Lysine-2,3-aminomutase	NA	NA	NA
PF03815	6	18	5	3	4	6	LCCL domain	NA	NA	NA
PF15741	6	0	5	3	4	1	Ligand-dependent nuclear receptor-interacting factor 1	GO:0042974	GO:0006355	NA
PF01823	6	5	1	2	0	6	MAC/Perforin domain	NA	NA	NA
PF02820	6	1	4	8	4	5	mbt repeat	NA	GO:0006355	GO:0005634
PF05854	6	3	6	0	3	4	Non-histone chromosomal protein MC1	NA	GO:0042262	NA
PF02975	6	2	8	3	4	7	Methylamine dehydrogenase, L chain	GO:0016638	GO:0009308,GO:0055114	GO:0042597
PF02065	6	8	8	10	5	24	Melibiase	GO:0004557	GO:0005975	NA
PF03389	6	1	4	2	2	5	MobA/MobL family	NA	NA	NA
PF09176	6	2	8	5	4	5	Methylene-tetrahydromethanopterin dehydrogenase, N-terminal	NA	NA	NA
PF15731	6	6	7	2	2	8	Antitoxin component of bacterial toxin-antitoxin system, MqsA	NA	NA	NA
PF14338	6	1	9	2	5	8	Mrr N-terminal domain	NA	NA	NA
PF12972	6	9	3	4	5	3	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain	NA	NA	NA
PF10200	6	2	4	2	6	1	NADH:ubiquinone oxidoreductase, NDUFS5-15kDa	NA	NA	NA
PF03824	6	4	9	4	9	11	High-affinity nickel-transport protein	GO:0015099,GO:0046872	GO:0035444	GO:0016021
PF03715	6	6	6	3	10	9	Noc2p family	NA	NA	NA
PF13562	6	1	4	3	5	3	Sugar nucleotidyl transferase	NA	NA	NA
PF10127	6	11	13	2	7	31	Predicted nucleotidyltransferase	NA	NA	NA
PF03407	6	3	6	3	12	6	Nucleotide-diphospho-sugar transferase	NA	NA	NA
PF14050	6	11	4	6	6	11	N-terminal conserved domain of Nudc.	NA	NA	NA
PF16158	6	3	1	10	11	12	Ig-like domain from next to BRCA1 gene	NA	NA	NA
PF03711	6	13	7	9	23	18	Orn/Lys/Arg decarboxylase, C-terminal domain	GO:0003824	NA	NA
PF11651	6	5	6	6	7	13	P22 coat protein - gene protein 5	NA	NA	NA
PF08336	6	4	1	5	8	10	Prolyl 4-Hydroxylase alpha-subunit, N-terminal region	GO:0004656,GO:0016702	GO:0055114	GO:0005783
PF08857	6	5	11	7	11	11	Putative ParB-like nuclease	NA	NA	NA
PF11903	6	1	5	2	4	9	ParD-like antitoxin of type II bacterial toxin-antitoxin system	NA	NA	NA
PF08011	6	9	7	2	4	7	PD-(D/E)XK nuclease superfamily	NA	NA	NA
PF04710	6	9	0	2	8	10	Pellino	NA	GO:0008063	NA
PF03929	6	9	13	6	5	30	PepSY-associated TM region	NA	NA	NA
PF05548	6	4	7	6	4	4	Gametolysin peptidase M11	NA	NA	NA
PF13539	6	1	9	2	3	16	D-alanyl-D-alanine carboxypeptidase	NA	NA	NA
PF01752	6	10	5	4	215	11	Collagenase	GO:0004252,GO:0008270	GO:0006508	GO:0005576
PF04586	6	8	7	9	4	12	Caudovirus prohead serine protease	NA	NA	NA
PF00959	6	3	6	4	4	6	Phage lysozyme	GO:0003796	GO:0009253,GO:0016998	NA
PF13831	6	2	0	3	3	10	PHD-finger	NA	NA	NA
PF03831	6	5	2	5	0	18	PhnA protein	NA	NA	NA
PF16655	6	11	6	6	10	18	PhoD-like phosphatase, N-terminal domain	NA	NA	NA
PF05023	6	9	6	5	3	10	Phytochelatin synthase	GO:0016756,GO:0046872	GO:0010038,GO:0046938	NA
PF14844	6	4	2	9	9	3	PH domain associated with Beige/BEACH	NA	NA	NA
PF16074	6	5	6	4	2	8	Type IV Pilus-assembly protein W	NA	GO:0043683	NA
PF14341	6	8	5	5	9	6	PilX N-terminal	NA	NA	NA
PF03126	6	5	0	4	3	8	Plus-3 domain	GO:0003677	NA	NA
PF02366	6	2	4	5	4	7	Dolichyl-phosphate-mannose-protein mannosyltransferase	GO:0000030	GO:0006493	GO:0016020
PF03208	6	2	0	2	2	7	PRA1 family protein	NA	NA	NA
PF04824	6	3	5	2	0	1	Conserved region of Rad21 / Rec8 like protein	NA	NA	GO:0000228
PF13881	6	4	2	4	5	6	Ubiquitin-2 like Rad60 SUMO-like	NA	NA	NA
PF08771	6	11	7	7	6	8	Rapamycin binding domain	GO:0008144	NA	NA
PF04057	6	1	2	4	7	2	Replication factor-A protein 1, N-terminal domain	GO:0003677	GO:0006260	GO:0005634
PF03527	6	5	7	8	2	12	RHS protein	NA	NA	NA
PF00073	6	10	12	10	4	12	picornavirus capsid protein	GO:0005198	NA	GO:0019028
PF06479	6	3	2	2	1	0	Ribonuclease 2-5A	GO:0004540	GO:0006397	NA
PF03868	6	2	4	4	0	2	Ribosomal protein L6, N-terminal domain	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF07064	6	2	0	4	1	4	RIC1	NA	NA	NA
PF02197	6	17	2	8	8	10	Regulatory subunit of type II PKA R-subunit	NA	NA	NA
PF09202	6	5	5	3	6	9	Rio2, N-terminal	GO:0004674,GO:0005524	GO:0006468	NA
PF02150	6	3	1	4	6	2	RNA polymerases M/15 Kd subunit	GO:0003677,GO:0003899	GO:0006351	NA
PF15035	6	44	0	5	23	10	Ciliary rootlet component, centrosome cohesion	NA	NA	NA
PF04939	6	19	7	8	7	7	Ribosome biogenesis regulatory protein (RRS1)	NA	GO:0042254	GO:0005634
PF14361	6	12	9	8	9	13	RsbT co-antagonist protein rsbRD N-terminal domain	NA	NA	NA
PF09273	6	5	3	2	6	4	Rubisco LSMT substrate-binding	NA	NA	NA
PF02759	6	10	1	5	14	12	RUN domain	NA	NA	NA
PF01365	6	24	2	9	83	31	RIH domain	GO:0005262	GO:0070588	GO:0016020
PF13509	6	6	12	5	5	31	S1 domain	NA	NA	NA
PF02182	6	13	2	4	14	10	SAD/SRA domain	GO:0042393	NA	NA
PF04499	6	9	1	2	11	12	SIT4 phosphatase-associated protein	NA	NA	NA
PF05285	6	7	7	7	16	10	SDA1	NA	NA	NA
PF07393	6	7	3	9	11	10	Exocyst complex component Sec10	NA	GO:0006887,GO:0048278	GO:0005737
PF06650	6	3	2	2	18	7	SHR-binding domain of vacuolar-sorting associated protein 13	NA	NA	NA
PF15247	6	0	5	5	8	6	Histone RNA hairpin-binding protein RNA-binding domain	GO:0003723	NA	NA
PF09111	6	11	2	10	10	8	SLIDE	GO:0003676,GO:0005524,GO:0016818	GO:0006338	GO:0005634
PF15307	6	2	4	0	2	5	Sperm acrosome-associated protein 7	NA	NA	GO:0001669
PF06703	6	3	2	3	7	5	Microsomal signal peptidase 25 kDa subunit (SPC25)	GO:0008233	GO:0006465	GO:0005787,GO:0016021
PF06638	6	2	1	4	8	6	Strabismus protein	NA	GO:0007275	GO:0016021
PF02077	6	10	1	9	6	6	SURF4 family	NA	NA	GO:0016021
PF08231	6	5	4	8	8	14	SYF2 splicing factor	NA	NA	NA
PF12295	6	6	5	1	4	3	Symplekin tight junction protein C terminal	NA	NA	NA
PF00837	6	7	13	3	9	5	Iodothyronine deiodinase	GO:0004800	GO:0055114	NA
PF05236	6	4	0	1	8	6	Transcription initiation factor TFIID component TAF4 family	NA	GO:0006352	GO:0005669
PF04466	6	6	10	3	4	39	Phage terminase large subunit	NA	GO:0006323	NA
PF08359	6	7	2	2	2	22	YsiA-like protein, C-terminal region	NA	NA	NA
PF03540	6	1	3	1	1	3	Transcription initiation factor TFIID 23-30kDa subunit	NA	GO:0006352	GO:0005634
PF16134	6	6	0	3	3	8	THO complex subunit 2 N-terminus	NA	NA	NA
PF03647	6	9	5	2	1	7	Transmembrane proteins 14C	NA	NA	GO:0016020
PF05518	6	6	1	1	1	4	Totivirus coat protein	NA	NA	NA
PF13174	6	2	7	1	3	12	Tetratricopeptide repeat	GO:0005515	NA	NA
PF00088	6	2	0	6	8	1	Trefoil (P-type) domain	NA	NA	NA
PF03456	6	8	2	4	6	4	uDENN domain	NA	NA	NA
PF05194	6	4	1	2	2	5	UreE urease accessory protein, C-terminal domain	GO:0016151	GO:0006461,GO:0019627	NA
PF06862	6	9	3	3	7	11	Utp25, U3 small nucleolar RNA-associated SSU processome protein 25	NA	NA	GO:0005634
PF02209	6	3	6	3	5	1	Villin headpiece domain	GO:0003779	GO:0007010	NA
PF02407	6	5	2	5	1	7	Putative viral replication protein	GO:0016779,GO:0016888,GO:0042624	GO:0006260,GO:0018142	NA
PF08700	6	10	5	3	8	8	Vps51/Vps67	NA	NA	NA
PF04932	6	5	7	3	6	20	O-Antigen ligase	NA	NA	NA
PF09811	6	6	8	3	4	4	Essential protein Yae1, N terminal	NA	NA	NA
PF09586	6	3	4	0	3	15	Bacterial membrane protein YfhO	NA	NA	NA
PF14240	6	5	8	11	16	25	YHYH protein	NA	NA	NA
PF13115	6	1	3	3	0	3	YtkA-like	NA	NA	NA
PF02891	6	2	1	1	4	5	MIZ/SP-RING zinc finger	GO:0008270	NA	NA
PF14570	6	5	3	3	1	4	RING/Ubox like zinc-binding domain	NA	NA	NA
PF07677	5	7	2	2	7	11	A-macroglobulin receptor	NA	NA	GO:0005576
PF08142	5	7	8	0	6	2	AARP2CN (NUC121) domain	NA	GO:0042254	GO:0005634
PF10081	5	3	0	2	5	9	Alpha/beta-hydrolase family	NA	NA	NA
PF04083	5	16	9	7	7	18	Partial alpha/beta-hydrolase lipase region	NA	GO:0006629	NA
PF13338	5	18	16	11	12	29	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	NA	NA	NA
PF14721	5	1	0	0	10	9	Apoptosis-inducing factor, mitochondrion-associated, C-term	GO:0046983	NA	NA
PF05208	5	4	10	5	5	5	ALG3 protein	GO:0016758	NA	GO:0005783,GO:0016021
PF05145	5	0	2	1	0	11	Putative ammonia monooxygenase	NA	GO:0010468	GO:0016021
PF04110	5	2	0	2	3	2	Ubiquitin-like autophagy protein Apg12	NA	GO:0000045	GO:0005737
PF04111	5	5	0	3	5	7	Autophagy protein Apg6	NA	GO:0006914	NA
PF02177	5	3	1	2	2	16	Amyloid A4 N-terminal heparin-binding	GO:0008201	NA	NA
PF04959	5	5	1	6	4	6	Arsenite-resistance protein 2	NA	NA	NA
PF04627	5	7	4	13	25	17	Mitochondrial ATP synthase epsilon chain	GO:0046933,GO:0046961	GO:0015986	GO:0000275
PF00765	5	4	4	2	7	9	Autoinducer synthase	GO:0016740	NA	NA
PF08379	5	3	10	4	5	19	Bacterial transglutaminase-like N-terminal region	NA	NA	NA
PF05529	5	1	5	3	6	17	B-cell receptor-associated protein 31-like	NA	GO:0006886	GO:0005783,GO:0016021
PF04940	5	2	17	7	5	12	Sensors of blue-light using FAD	GO:0009882,GO:0071949	NA	NA
PF02237	5	2	4	7	3	9	Biotin protein ligase C terminal domain	NA	GO:0006464	NA
PF07533	5	1	0	1	1	0	BRK domain	GO:0005515,GO:0016817	NA	NA
PF14827	5	0	2	1	3	4	Sensory domain of two-component sensor kinase	NA	NA	NA
PF12253	5	2	1	0	2	0	Chromatin assembly factor 1 subunit A	NA	NA	NA
PF08773	5	10	3	11	3	12	Cathepsin C exclusion domain	NA	NA	NA
PF05179	5	2	1	5	6	8	RNA pol II accessory factor, Cdc73 family, C-terminal	NA	NA	NA
PF17048	5	5	4	6	0	7	Neutral/alkaline non-lysosomal ceramidase, C-terminal	NA	NA	NA
PF04345	5	1	1	1	4	9	Chorismate lyase	GO:0008813	GO:0006744	GO:0005737
PF10216	5	3	2	3	1	2	CO2 hydration protein (ChpXY)	NA	NA	NA
PF06294	5	17	6	9	13	10	CH-like domain in sperm protein	NA	NA	NA
PF05093	5	8	5	6	10	7	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis	GO:0051536	GO:0016226	GO:0005737
PF10234	5	11	8	3	5	12	Clusterin-associated protein-1	NA	NA	NA
PF06213	5	7	7	3	11	13	Cobalamin biosynthesis protein CobT	NA	GO:0009236	NA
PF08318	5	0	1	4	5	11	COG4 transport protein	NA	NA	NA
PF05019	5	3	8	9	7	22	Coenzyme Q (ubiquinone) biosynthesis protein Coq4	NA	GO:0006744	NA
PF09727	5	3	0	0	6	1	Cortactin-binding protein-2	NA	NA	NA
PF04516	5	9	3	5	2	9	CP2 transcription factor	NA	NA	NA
PF03556	5	10	7	4	12	8	Cullin binding	NA	NA	NA
PF02728	5	2	3	2	1	4	Copper amine oxidase, N3 domain	GO:0005507,GO:0008131,GO:0048038	GO:0009308,GO:0055114	NA
PF13682	5	2	11	3	7	10	Chemoreceptor zinc-binding domain	NA	NA	NA
PF02109	5	6	8	8	11	11	DAD family	GO:0004579	NA	GO:0008250,GO:0016021
PF05026	5	1	1	0	4	2	Dcp2, box A domain	GO:0003723,GO:0016787,GO:0030145	NA	NA
PF12890	5	4	8	8	2	15	Dihydro-orotase-like	NA	NA	NA
PF00778	5	3	3	7	5	7	DIX domain	NA	NA	NA
PF14743	5	6	4	3	4	6	DNA ligase OB-like domain	NA	NA	NA
PF14840	5	4	1	1	1	8	Processivity clamp loader gamma complex DNA pol III C-term	NA	NA	NA
PF14791	5	4	8	10	9	22	DNA polymerase beta thumb	NA	NA	NA
PF06367	5	8	1	5	16	12	Diaphanous FH3 Domain	GO:0003779	GO:0016043	NA
PF06577	5	3	4	4	9	1	Protein of unknown function (DUF1134)	NA	NA	NA
PF06658	5	3	1	5	7	6	Protein of unknown function (DUF1168)	NA	NA	NA
PF06938	5	5	9	1	9	9	Protein of unknown function (DUF1285)	NA	NA	NA
PF06940	5	2	7	6	5	23	Domain of unknown function (DUF1287)	NA	NA	NA
PF07039	5	5	5	6	6	5	SGF29 tudor-like domain	NA	NA	NA
PF07082	5	2	2	2	3	1	Protein of unknown function (DUF1350)	NA	NA	NA
PF07632	5	6	6	5	10	19	Protein of unknown function (DUF1593)	NA	NA	NA
PF07713	5	4	2	4	0	6	Protein of unknown function (DUF1604)	NA	NA	NA
PF07847	5	5	1	6	2	10	Protein of unknown function (DUF1637)	GO:0016702	GO:0055114	NA
PF08002	5	6	6	9	8	15	Protein of unknown function (DUF1697)	NA	NA	NA
PF08747	5	2	4	5	3	6	Domain of unknown function (DUF1788)	NA	NA	NA
PF02641	5	11	13	6	14	19	Uncharacterized ACR, COG1993	NA	NA	NA
PF09324	5	4	2	5	10	4	Domain of unknown function (DUF1981)	NA	NA	NA
PF09366	5	1	1	0	0	0	Protein of unknown function (DUF1997)	NA	NA	NA
PF02656	5	6	9	12	8	13	Domain of unknown function (DUF202)	NA	NA	NA
PF02680	5	3	9	2	16	8	Uncharacterized ArCR, COG1888	NA	NA	NA
PF09905	5	3	9	2	8	12	Uncharacterized conserved protein (DUF2132)	GO:0003677	NA	NA
PF09924	5	5	9	5	5	18	Uncharacterized conserved protein (DUF2156)	NA	NA	NA
PF09967	5	4	2	1	6	10	VWA-like domain (DUF2201)	NA	NA	NA
PF09982	5	4	8	4	7	16	Uncharacterized protein conserved in bacteria (DUF2219)	NA	NA	NA
PF10728	5	3	6	2	2	26	Domain of unknown function (DUF2520)	NA	NA	NA
PF10771	5	5	5	4	5	6	Winged helix-turn-helix domain (DUF2582)	NA	NA	NA
PF10816	5	12	8	6	7	12	Domain of unknown function (DUF2760)	NA	NA	NA
PF11146	5	5	3	2	3	10	Protein of unknown function (DUF2905)	NA	NA	NA
PF11152	5	0	2	1	1	0	Protein of unknown function (DUF2930)	NA	NA	NA
PF11294	5	3	5	3	1	13	Protein of unknown function (DUF3095)	NA	NA	NA
PF11347	5	0	0	0	0	0	Protein of unknown function (DUF3148)	NA	NA	NA
PF11369	5	4	1	2	6	10	Protein of unknown function (DUF3160)	NA	NA	NA
PF11780	5	1	6	0	2	0	Protein of unknown function (DUF3318)	NA	NA	NA
PF11896	5	4	3	1	5	12	Domain of unknown function (DUF3416)	GO:0004553	NA	NA
PF11911	5	2	3	2	3	2	Protein of unknown function (DUF3429)	NA	NA	NA
PF11917	5	14	14	3	5	12	Protein of unknown function (DUF3435)	NA	NA	NA
PF11923	5	7	2	3	3	4	Domain of unknown function (DUF3441)	NA	NA	NA
